2026-09-02 05:24:52.704 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 31/180 filtering: 481 candidates → 126 frequent (26.2% pass rate, min_count=50)
2026-09-02 05:24:52.704 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 32/180: candidates [884,053, 884,108) (legacy sub-chunk)
2026-09-02 05:24:52.705 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 32/180 filtering: 55 candidates → 16 frequent (29.1% pass rate, min_count=50)
2026-09-02 05:24:52.705 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 33/180: candidates [884,108, 884,261)
2026-09-02 05:24:52.707 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 33/180 filtering: 153 candidates → 72 frequent (47.1% pass rate, min_count=50)
2026-09-02 05:24:52.707 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 34/180: candidates [884,261, 884,316) (legacy sub-chunk)
2026-09-02 05:24:52.708 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 34/180 filtering: 55 candidates → 12 frequent (21.8% pass rate, min_count=50)
2026-09-02 05:24:52.708 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 35/180: candidates [884,316, 884,518)
2026-09-02 05:24:52.710 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 35/180 filtering: 202 candidates → 105 frequent (52.0% pass rate, min_count=50)
2026-09-02 05:24:52.710 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 36/180: candidates [884,518, 884,582) (legacy sub-chunk)
2026-09-02 05:24:52.711 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 36/180 filtering: 64 candidates → 29 frequent (45.3% pass rate, min_count=50)
2026-09-02 05:24:52.711 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 37/180: candidates [884,582, 884,933)
2026-09-02 05:24:52.714 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 37/180 filtering: 351 candidates → 31 frequent (8.8% pass rate, min_count=50)
2026-09-02 05:24:52.714 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 38/180: candidates [884,933, 884,969) (legacy sub-chunk)
