2026-09-02 00:52:08.056 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 00:52:10.395 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 24/66 filtering: 63 candidates → 39 frequent (61.9% pass rate, min_count=20)
2026-09-02 00:52:10.395 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 25/66: candidates [590,296, 590,452)
2026-09-02 00:52:10.397 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 25/66 filtering: 156 candidates → 67 frequent (42.9% pass rate, min_count=20)
2026-09-02 00:52:10.397 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 26/66: candidates [590,452, 590,588) (legacy sub-chunk)
2026-09-02 00:52:10.398 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 26/66 filtering: 136 candidates → 102 frequent (75.0% pass rate, min_count=20)
2026-09-02 00:52:10.398 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 27/66: candidates [590,588, 590,654)
2026-09-02 00:52:10.400 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 27/66 filtering: 66 candidates → 28 frequent (42.4% pass rate, min_count=20)
2026-09-02 00:52:10.400 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 28/66: candidates [590,654, 591,081) (legacy sub-chunk)
2026-09-02 00:52:10.401 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 28/66 filtering: 427 candidates → 245 frequent (57.4% pass rate, min_count=20)
2026-09-02 00:52:10.401 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 29/66: candidates [591,081, 591,172)
