timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 20:20:48.271, 0, 0 %, 21659 MiB
2026/09/02 20:20:48.271, 1, 0 %, 0 MiB
2026/09/02 20:20:53.272, 0, 0 %, 21659 MiB
2026/09/02 20:20:53.272, 1, 0 %, 0 MiB
2026/09/02 20:20:58.272, 0, 0 %, 21659 MiB
2026/09/02 20:20:58.272, 1, 0 %, 0 MiB
2026/09/02 20:21:03.273, 0, 0 %, 21659 MiB
2026/09/02 20:21:03.273, 1, 0 %, 0 MiB
2026/09/02 20:21:08.274, 0, 0 %, 21659 MiB
2026/09/02 20:21:08.274, 1, 0 %, 0 MiB
2026/09/02 20:21:13.274, 0, 0 %, 21659 MiB
2026/09/02 20:21:13.274, 1, 0 %, 0 MiB
2026/09/02 20:21:18.275, 0, 0 %, 21659 MiB
2026/09/02 20:21:18.275, 1, 0 %, 0 MiB
2026/09/02 20:21:23.275, 0, 0 %, 21659 MiB
2026/09/02 20:21:23.276, 1, 0 %, 0 MiB
2026/09/02 20:21:28.276, 0, 0 %, 21659 MiB
2026/09/02 20:21:28.276, 1, 0 %, 0 MiB
2026/09/02 20:21:33.277, 0, 0 %, 21659 MiB
2026/09/02 20:21:33.277, 1, 0 %, 0 MiB
2026/09/02 20:21:38.278, 0, 0 %, 21659 MiB
2026/09/02 20:21:38.278, 1, 0 %, 0 MiB
2026/09/02 20:21:43.278, 0, 0 %, 21659 MiB
2026/09/02 20:21:43.278, 1, 0 %, 0 MiB
2026/09/02 20:21:48.279, 0, 0 %, 21659 MiB
2026/09/02 20:21:48.279, 1, 0 %, 0 MiB
2026/09/02 20:21:53.279, 0, 0 %, 21659 MiB
2026/09/02 20:21:53.280, 1, 0 %, 0 MiB
2026/09/02 20:21:58.280, 0, 0 %, 21659 MiB
2026/09/02 20:21:58.280, 1, 0 %, 0 MiB
2026/09/02 20:22:03.281, 0, 0 %, 21659 MiB
2026/09/02 20:22:03.281, 1, 0 %, 0 MiB
2026/09/02 20:22:08.281, 0, 0 %, 21659 MiB
2026/09/02 20:22:08.282, 1, 0 %, 0 MiB
2026/09/02 20:22:13.282, 0, 0 %, 21659 MiB
2026/09/02 20:22:13.282, 1, 0 %, 0 MiB
2026/09/02 20:22:18.283, 0, 0 %, 21659 MiB
2026/09/02 20:22:18.283, 1, 0 %, 0 MiB
2026/09/02 20:22:23.283, 0, 0 %, 21659 MiB
2026/09/02 20:22:23.283, 1, 0 %, 0 MiB
2026/09/02 20:22:28.284, 0, 0 %, 21659 MiB
2026/09/02 20:22:28.284, 1, 0 %, 0 MiB
2026/09/02 20:22:33.284, 0, 0 %, 21659 MiB
2026/09/02 20:22:33.285, 1, 0 %, 0 MiB
2026/09/02 20:22:38.285, 0, 0 %, 21659 MiB
2026/09/02 20:22:38.285, 1, 0 %, 0 MiB
2026/09/02 20:22:43.286, 0, 0 %, 21659 MiB
2026/09/02 20:22:43.286, 1, 0 %, 0 MiB
2026/09/02 20:22:48.286, 0, 0 %, 21659 MiB
2026/09/02 20:22:48.286, 1, 0 %, 0 MiB
2026/09/02 20:22:53.287, 0, 0 %, 21659 MiB
2026/09/02 20:22:53.287, 1, 0 %, 0 MiB
2026/09/02 20:22:58.288, 0, 0 %, 21659 MiB
2026/09/02 20:22:58.288, 1, 0 %, 0 MiB
2026/09/02 20:23:03.288, 0, 0 %, 21659 MiB
2026/09/02 20:23:03.288, 1, 0 %, 0 MiB
2026/09/02 20:23:08.289, 0, 0 %, 21659 MiB
2026/09/02 20:23:08.289, 1, 0 %, 0 MiB
2026/09/02 20:23:13.289, 0, 0 %, 21659 MiB
2026/09/02 20:23:13.290, 1, 0 %, 0 MiB
2026/09/02 20:23:18.290, 0, 0 %, 21659 MiB
2026/09/02 20:23:18.290, 1, 0 %, 0 MiB
2026/09/02 20:23:23.291, 0, 0 %, 21659 MiB
2026/09/02 20:23:23.291, 1, 0 %, 0 MiB
2026/09/02 20:23:28.291, 0, 0 %, 21659 MiB
2026/09/02 20:23:28.292, 1, 0 %, 0 MiB
2026/09/02 20:23:33.292, 0, 0 %, 21659 MiB
2026/09/02 20:23:33.292, 1, 0 %, 0 MiB
2026/09/02 20:23:38.293, 0, 0 %, 21659 MiB
2026/09/02 20:23:38.293, 1, 0 %, 0 MiB
2026/09/02 20:23:43.294, 0, 0 %, 21659 MiB
2026/09/02 20:23:43.294, 1, 0 %, 0 MiB
2026/09/02 20:23:48.294, 0, 0 %, 21659 MiB
2026/09/02 20:23:48.295, 1, 0 %, 0 MiB
2026/09/02 20:23:53.295, 0, 0 %, 21659 MiB
2026/09/02 20:23:53.295, 1, 0 %, 0 MiB
2026/09/02 20:23:58.296, 0, 0 %, 21659 MiB
2026/09/02 20:23:58.296, 1, 0 %, 0 MiB
2026/09/02 20:24:03.296, 0, 0 %, 21659 MiB
2026/09/02 20:24:03.297, 1, 0 %, 0 MiB
2026/09/02 20:24:08.297, 0, 0 %, 21659 MiB
2026/09/02 20:24:08.297, 1, 0 %, 0 MiB
2026/09/02 20:24:13.298, 0, 0 %, 21659 MiB
2026/09/02 20:24:13.298, 1, 0 %, 0 MiB
2026/09/02 20:24:18.298, 0, 0 %, 21659 MiB
2026/09/02 20:24:18.299, 1, 0 %, 0 MiB
2026/09/02 20:24:23.299, 0, 0 %, 21659 MiB
2026/09/02 20:24:23.300, 1, 0 %, 0 MiB
2026/09/02 20:24:28.300, 0, 0 %, 21659 MiB
2026/09/02 20:24:28.300, 1, 0 %, 0 MiB
2026/09/02 20:24:33.301, 0, 0 %, 21659 MiB
2026/09/02 20:24:33.301, 1, 0 %, 0 MiB
2026/09/02 20:24:38.301, 0, 0 %, 21659 MiB
2026/09/02 20:24:38.301, 1, 0 %, 0 MiB
2026/09/02 20:24:43.302, 0, 0 %, 21659 MiB
2026/09/02 20:24:43.302, 1, 0 %, 0 MiB
2026/09/02 20:24:48.302, 0, 0 %, 21659 MiB
2026/09/02 20:24:48.303, 1, 0 %, 0 MiB
2026/09/02 20:24:53.303, 0, 0 %, 21659 MiB
2026/09/02 20:24:53.303, 1, 0 %, 0 MiB
2026/09/02 20:24:58.304, 0, 0 %, 21659 MiB
2026/09/02 20:24:58.304, 1, 0 %, 0 MiB
2026/09/02 20:25:03.304, 0, 0 %, 21659 MiB
2026/09/02 20:25:03.305, 1, 0 %, 0 MiB
2026/09/02 20:25:08.305, 0, 0 %, 21659 MiB
2026/09/02 20:25:08.305, 1, 0 %, 0 MiB
2026/09/02 20:25:13.306, 0, 0 %, 21659 MiB
2026/09/02 20:25:13.306, 1, 0 %, 0 MiB
2026/09/02 20:25:18.307, 0, 0 %, 21659 MiB
2026/09/02 20:25:18.307, 1, 0 %, 0 MiB
2026/09/02 20:25:23.307, 0, 0 %, 21659 MiB
2026/09/02 20:25:23.307, 1, 0 %, 0 MiB
